title,studio,domestic_gross,foreign_gross,year,movie_id,start_year,runtime_minutes,genres,averagerating,numvotes,production_budget,total_gross,worldwide_gross,roi,budget_tier,total_revenue
True Grit,Par.,171200000.0,81000000.0,2010,tt1403865,2010,110.0,Adventure,7.6,284034,35000000.0,252200000.0,252200000.0,6.2057142857142855,High Budget(>$25M),252200000.0
True Grit,Par.,171200000.0,81000000.0,2010,tt1403865,2010,110.0,Drama,7.6,284034,35000000.0,252200000.0,252200000.0,6.2057142857142855,High Budget(>$25M),252200000.0
True Grit,Par.,171200000.0,81000000.0,2010,tt1403865,2010,110.0,Western,7.6,284034,35000000.0,252200000.0,252200000.0,6.2057142857142855,High Budget(>$25M),252200000.0
Gulliver's Travels,Fox,42800000.0,194600000.0,2010,tt1320261,2010,85.0,Adventure,4.9,61178,112000000.0,237400000.0,237400000.0,1.1196428571428572,High Budget(>$25M),237400000.0
Gulliver's Travels,Fox,42800000.0,194600000.0,2010,tt1320261,2010,85.0,Comedy,4.9,61178,112000000.0,237400000.0,237400000.0,1.1196428571428572,High Budget(>$25M),237400000.0
Gulliver's Travels,Fox,42800000.0,194600000.0,2010,tt1320261,2010,85.0,Family,4.9,61178,112000000.0,237400000.0,237400000.0,1.1196428571428572,High Budget(>$25M),237400000.0
The Social Network,Sony,97000000.0,128000000.0,2010,tt1285016,2010,120.0,Biography,7.7,568578,40000000.0,225000000.0,225000000.0,4.625,High Budget(>$25M),225000000.0
The Social Network,Sony,97000000.0,128000000.0,2010,tt1285016,2010,120.0,Drama,7.7,568578,40000000.0,225000000.0,225000000.0,4.625,High Budget(>$25M),225000000.0
Valentine's Day,WB (NL),110500000.0,106000000.0,2010,tt0817230,2010,125.0,Comedy,5.7,107171,52000000.0,216500000.0,216500000.0,3.1634615384615383,High Budget(>$25M),216500000.0
Valentine's Day,WB (NL),110500000.0,106000000.0,2010,tt0817230,2010,125.0,Romance,5.7,107171,52000000.0,216500000.0,216500000.0,3.1634615384615383,High Budget(>$25M),216500000.0
The Sorcerer's Apprentice,BV,63200000.0,152100000.0,2010,tt0963966,2010,109.0,Action,6.1,143862,160000000.0,215300000.0,215300000.0,0.345625,High Budget(>$25M),215300000.0
The Sorcerer's Apprentice,BV,63200000.0,152100000.0,2010,tt0963966,2010,109.0,Adventure,6.1,143862,160000000.0,215300000.0,215300000.0,0.345625,High Budget(>$25M),215300000.0
The Sorcerer's Apprentice,BV,63200000.0,152100000.0,2010,tt0963966,2010,109.0,Family,6.1,143862,160000000.0,215300000.0,215300000.0,0.345625,High Budget(>$25M),215300000.0
Due Date,WB,100500000.0,111200000.0,2010,tt1231583,2010,95.0,Adventure,6.5,303523,65000000.0,211700000.0,211700000.0,2.256923076923077,High Budget(>$25M),211700000.0
Due Date,WB,100500000.0,111200000.0,2010,tt1231583,2010,95.0,Comedy,6.5,303523,65000000.0,211700000.0,211700000.0,2.256923076923077,High Budget(>$25M),211700000.0
Eat Pray Love,Sony,80600000.0,124000000.0,2010,tt0879870,2010,133.0,Drama,5.8,77709,60000000.0,204600000.0,204600000.0,2.41,High Budget(>$25M),204600000.0
Eat Pray Love,Sony,80600000.0,124000000.0,2010,tt0879870,2010,133.0,Romance,5.8,77709,60000000.0,204600000.0,204600000.0,2.41,High Budget(>$25M),204600000.0
Yogi Bear,WB,100200000.0,101300000.0,2010,tt1302067,2010,80.0,Adventure,4.6,18934,80000000.0,201500000.0,201500000.0,1.51875,High Budget(>$25M),201500000.0
Yogi Bear,WB,100200000.0,101300000.0,2010,tt1302067,2010,80.0,Animation,4.6,18934,80000000.0,201500000.0,201500000.0,1.51875,High Budget(>$25M),201500000.0
Yogi Bear,WB,100200000.0,101300000.0,2010,tt1302067,2010,80.0,Comedy,4.6,18934,80000000.0,201500000.0,201500000.0,1.51875,High Budget(>$25M),201500000.0
Red,Sum.,90400000.0,108600000.0,2010,tt2181948,2014,107.24295010845987,Thriller,5.8,9,60000000.0,199000000.0,199000000.0,2.316666666666667,High Budget(>$25M),199000000.0
Red,Sum.,90400000.0,108600000.0,2010,tt4170206,2014,107.0,Drama,8.4,8,60000000.0,199000000.0,199000000.0,2.316666666666667,High Budget(>$25M),199000000.0
Red,Sum.,90400000.0,108600000.0,2010,tt8851190,2018,90.0,Drama,8.1,26,60000000.0,199000000.0,199000000.0,2.316666666666667,High Budget(>$25M),199000000.0
Paranormal Activity 2,Par.,84800000.0,92800000.0,2010,tt1536044,2010,91.0,Horror,5.7,93122,3000000.0,177600000.0,177600000.0,58.2,Low Budget(<$10M),177600000.0
The A-Team,Fox,77200000.0,100000000.0,2010,tt0429493,2010,117.0,Action,6.8,235256,110000000.0,177200000.0,177200000.0,0.610909090909091,High Budget(>$25M),177200000.0
The A-Team,Fox,77200000.0,100000000.0,2010,tt0429493,2010,117.0,Adventure,6.8,235256,110000000.0,177200000.0,177200000.0,0.610909090909091,High Budget(>$25M),177200000.0
The A-Team,Fox,77200000.0,100000000.0,2010,tt0429493,2010,117.0,Thriller,6.8,235256,110000000.0,177200000.0,177200000.0,0.610909090909091,High Budget(>$25M),177200000.0
The Other Guys,Sony,119200000.0,51200000.0,2010,tt1386588,2010,107.0,Action,6.7,221664,100000000.0,170400000.0,170400000.0,0.704,High Budget(>$25M),170400000.0
The Other Guys,Sony,119200000.0,51200000.0,2010,tt1386588,2010,107.0,Comedy,6.7,221664,100000000.0,170400000.0,170400000.0,0.704,High Budget(>$25M),170400000.0
The Other Guys,Sony,119200000.0,51200000.0,2010,tt1386588,2010,107.0,Crime,6.7,221664,100000000.0,170400000.0,170400000.0,0.704,High Budget(>$25M),170400000.0
Unstoppable,Fox,81600000.0,86200000.0,2010,tt0477080,2010,98.0,Action,6.8,173019,95000000.0,167800000.0,167800000.0,0.7663157894736842,High Budget(>$25M),167800000.0
Unstoppable,Fox,81600000.0,86200000.0,2010,tt0477080,2010,98.0,Thriller,6.8,173019,95000000.0,167800000.0,167800000.0,0.7663157894736842,High Budget(>$25M),167800000.0
Unstoppable,Fox,81600000.0,86200000.0,2010,tt3070502,2013,65.0,Documentary,4.3,551,95000000.0,167800000.0,167800000.0,0.7663157894736842,High Budget(>$25M),167800000.0
Unstoppable,Fox,81600000.0,86200000.0,2010,tt9225192,2018,116.0,Action,6.5,576,95000000.0,167800000.0,167800000.0,0.7663157894736842,High Budget(>$25M),167800000.0
Unstoppable,Fox,81600000.0,86200000.0,2010,tt9225192,2018,116.0,Crime,6.5,576,95000000.0,167800000.0,167800000.0,0.7663157894736842,High Budget(>$25M),167800000.0
